url	gids	local_count	count
vk.com/id27510602	Arduino_, Arduino_1	3	2
vk.com/id7660182	Arduino_1, Микроконтроллеры, ChipEnable	13	3
vk.com/id197112380	LabRazum	3	1
vk.com/id180994396	Neuron_Hackspace, ЦМИТы_и_фаблабы_России	14	2
vk.com/id127395399	Все_об_Ардуино, Занимательная_робототехника, Технарю_с_AliExpress	3	3
vk.com/id165916044	Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры_STM32	3	3
vk.com/id52394707	Arduino_, Arduino_1	4	2
vk.com/id3230354	Cadr	9	1
vk.com/id29106267	Технарю_с_AliExpress	5	1
vk.com/id139476539	Робототехника_микроконтроллеры_AVR_Arduino	4	1
vk.com/id3039013	Фестиваль_Rukami, Искусственный_интеллект_и_робототехника, Занимательная_робототехника	21	3
vk.com/id481973139	Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	4	3
vk.com/id219657332	Arduino_1	4	1
vk.com/id283758764	LabRazum, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры_и_технологии, Отечественные_микроконтроллеры_и_компоненты, Микроконтроллеры, Vt_tech	5	6
vk.com/id9628435	Занимательная_робототехника	4	1
vk.com/id31979980	Занимательная_робототехника	6	1
vk.com/id416734425	Технарю_с_AliExpress	4	1
vk.com/id26266989	Arduino_2, Arduino_1	4	2
vk.com/id141357702	Arduino_	3	1
vk.com/id11723855	Технарю_с_AliExpress	5	1
vk.com/id13053694	Занимательная_робототехника	9	1
vk.com/id317687506	Arduino_	4	1
vk.com/id262052947	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id5014080	Arduino_1	5	1
vk.com/id69169263	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id2740015	Arduino_2, Arduino_1, Радиодетали_инструменты_оборудование_из_Китая	20	3
vk.com/id161538568	ЦМИТы_и_фаблабы_России	4	1
vk.com/id142153481	Микроконтроллеры	3	1
vk.com/id67235103	Искусственный_интеллект_и_робототехника	13	1
vk.com/id16143311	Все_об_Ардуино	3	1
vk.com/id8922384	Neuron_Hackspace, Объединение_Олимп, Занимательная_робототехника	3	3
vk.com/id43771406	Робототехника_микроконтроллеры_AVR_Arduino	4	1
vk.com/id136285784	Технарю_с_AliExpress	3	1
vk.com/id197393972	Разработка_PCB	3	1
vk.com/id370609037	Arduino_	13	1
vk.com/id235930180	Все_об_Ардуино	4	1
vk.com/id18399248	Радиоэлектроника	10	1
vk.com/id2724424	Arduino_	7	1
vk.com/id43587033	Arduino_	3	1
vk.com/id49445432	Neuron_Hackspace	6	1
vk.com/id81151803	ЦМИТы_и_фаблабы_России	10	1
vk.com/id46325406	Arduino_	3	1
vk.com/id146510231	Искусственный_интеллект_и_робототехника, Радиоэлектроника	11	2
vk.com/id177218102	LabRazum	3	1
vk.com/id21388800	Arduino_	3	1
vk.com/id15601390	ЦМИТы_и_фаблабы_России	5	1
vk.com/id481568075	Робототехника_микроконтроллеры_AVR_Arduino	5	1
vk.com/id4255784	Микроконтроллеры	6	1
vk.com/id402529425	Занимательная_робототехника	21	1
vk.com/id1437046	Arduino_1	6	1
vk.com/id125482706	Союз_радиолюбителей_России	3	1
vk.com/id157042726	Arduino_	4	1
vk.com/id106788447	Занимательная_робототехника	4	1
vk.com/id171444270	ЦМИТы_и_фаблабы_России, Искусственный_интеллект_и_робототехника	10	2
vk.com/id217862985	Сообщество_программистов_микроконтроллеров	5	1
vk.com/id239282721	Arduino_	11	1
vk.com/id528336	Занимательная_робототехника	24	1
vk.com/id4485606	Neuron_Hackspace, ЦМИТы_и_фаблабы_России, Arduino_1	41	3
vk.com/id27073591	Пермский_makerspace	3	1
vk.com/id45856505	Разработка_PCB	5	1
